#01/20/2015 Tuesday   Dals Development Computer
*15:02:42 s  1 preflib.php->GetPrefsForUser> 1 preferences retrieved successfully for user 0
*15:02:53 p  1 t.php>  
*15:02:53 s  1 preflib.php->GetPrefsForUser> 1 preferences retrieved successfully for user 0
*15:08:57 p  1 t.php>  
*15:08:57 s  1 preflib.php->GetPrefsForUser> 1 preferences retrieved successfully for user 0
*15:11:10 p  1 account.php>  
*15:11:10 s  1 preflib.php->GetPrefsForUser> 1 preferences retrieved successfully for user 0
*15:12:01 p  1 account.php>  
*15:12:01 s  1 preflib.php->GetPrefsForUser> 1 preferences retrieved successfully for user 0
*15:12:15 p  1 account.php>  
*15:12:15 s  1 preflib.php->GetPrefsForUser> 1 preferences retrieved successfully for user 0
*15:13:35 p  1 account.php>  
*15:13:35 s  1 preflib.php->GetPrefsForUser> 1 preferences retrieved successfully for user 0
*15:14:01 p  1 account.php>  
*15:14:01 s  1 preflib.php->GetPrefsForUser> 1 preferences retrieved successfully for user 0
*15:15:16 p  1 account.php>  
*15:15:16 s  1 preflib.php->GetPrefsForUser> 1 preferences retrieved successfully for user 0
*15:15:24 p  1 account.php>  
*15:15:24 s  1 preflib.php->GetPrefsForUser> 1 preferences retrieved successfully for user 0
*15:15:30 p  1 account.php>  
*15:15:30 s  1 preflib.php->GetPrefsForUser> 1 preferences retrieved successfully for user 0
*15:15:33 p  1 attendance.php>  
*15:16:52 p  1 t.php>  
*15:16:52 s  1 preflib.php->GetPrefsForUser> 1 preferences retrieved successfully for user 0
*15:18:57 p  1 attendance.php>  
*15:18:59 p  1 attendance_setup.php>  
*15:18:59 s  1 preflib.php->GetPrefsForUser> 1 preferences retrieved successfully for user 0
*15:20:15 p  1 attendance_setup.php>  
*15:20:15 s  1 preflib.php->GetPrefsForUser> 1 preferences retrieved successfully for user 0
*15:20:19 p  1 attendance.php>  
*15:20:19 s  1 preflib.php->GetPrefsForUser> 1 preferences retrieved successfully for user 0
*15:20:59 p  1 t.php>  
*15:20:59 s  1 preflib.php->GetPrefsForUser> 1 preferences retrieved successfully for user 0
*15:22:35 p  1 attendance.php>  
*15:22:35 s  1 preflib.php->GetPrefsForUser> 1 preferences retrieved successfully for user 0
*15:23:02 p  1 attendance.php>  
*15:23:02 s  1 preflib.php->GetPrefsForUser> 1 preferences retrieved successfully for user 0
*15:23:06 p  1 attendance_setup.php>  
*15:23:06 s  1 preflib.php->GetPrefsForUser> 1 preferences retrieved successfully for user 0
*15:23:13 p  1 attendance_setup.php>  
*15:23:13 s  1 preflib.php->GetPrefsForUser> 1 preferences retrieved successfully for user 0
*15:23:15 p  1 attendance.php>  
*15:23:15 s  1 preflib.php->GetPrefsForUser> 1 preferences retrieved successfully for user 0
*15:24:02 p  1 attendance.php>  
*15:24:02 s  1 preflib.php->GetPrefsForUser> 1 preferences retrieved successfully for user 0
*15:24:43 p  1 attendance.php>  
*15:24:43 s  1 preflib.php->GetPrefsForUser> 1 preferences retrieved successfully for user 0
*15:25:13 p  1 attendance.php>  
*15:25:13 s  1 preflib.php->GetPrefsForUser> 1 preferences retrieved successfully for user 0
*15:25:46 p  1 attendance.php>  
*15:25:46 s  1 preflib.php->GetPrefsForUser> 1 preferences retrieved successfully for user 0
*15:26:28 p  1 attendance.php>  
*15:26:28 s  1 preflib.php->GetPrefsForUser> 1 preferences retrieved successfully for user 0
*15:27:23 p  1 attendance.php>  
*15:27:23 s  1 preflib.php->GetPrefsForUser> 1 preferences retrieved successfully for user 0
*15:27:44 p  1 attendance.php>  
